15 populations
1 Albania-pop-2-
2 Croatia-pop-3-
3 Norway-ethnic-Norwegians-
4 Norway-pop-2-
5 Norway-Sami-
6 Romania-pop-2-
7 Romania-pop-3-
8 Saudi-Arabia-pop-4-
9 Serbia-pop-3-
10 Serbia-Vojvodina-
11 Spain-Ibiza-
12 Spain-Majorca-
13 UK-North-
14 Russia-North-Ossetian-
15 Saudi-Arabia-pop-2-

@locus 1   A      Albania-pop-2-   Croatia-pop-3-   Norway-ethnic-Norwegians-   Norway-pop-2-   Norway-Sami-   Romania-pop-2-   Romania-pop-3-   Saudi-Arabia-pop-4-   Serbia-pop-3-   Serbia-Vojvodina-   Spain-Ibiza-   Spain-Majorca-   UK-North-   Russia-North-Ossetian-   Saudi-Arabia-pop-2-   
          A*01 * 0.097      0.133      0.159      0.152      0.065      0.12      0.129      0.07      0.143      0.135      0.138      0.106      0.177      0.118      0.068      
          A*02 * 0.328      0.242      0.33      0.343      0.273      0.26      0.283      0.289      0.295      0.307      0.299      0.312      0.271      0.248      0.304      
          A*03 * 0.097      0.158      0.157      0.155      0.289      0.09      0.099      0.072      0.113      0.101      0.086      0.11      0.151      0.126      0.063      
          A*11 * 0.069      0.063      0.061      0.053      0.044      0.08      0.089      0.024      0.061      0.07      0.098      0.05      0.076      0.043      0.034      
          A*23 * 0.026      0.00417      0.014      0.103      0.18      0.03      0.034      0.039      0.022      0.03      0.046      0.04      0.017      0.028      0.054      
          A*24 * 0.149      0.113      0.087      0.00000      0.00000      0.12      0.128      0.08      0.111      0.107      0.103      0.101      0.094      0.091      0.067      
          A*25 * 0.0093      0.033      0.025      0.047      0.034      0.03      0.03      0.00000      0.026      0.031      0.029      0.022      0.018      0.012      0.001      
          A*26 * 0.052      0.067      0.017      0.00000      0.00000      0.05      0.046      0.074      0.06      0.06      0      0.047      0.012      0.035      0.054      
          A*29 * 0.015      0.013      0.021      0.106      0.026      0.02      0.017      0.032      0.00728      0.008      0.098      0.066      0.036      0.00000      0.016      
          A*30 * 0.014      0.017      0.01      0.00000      0.00000      0.02      0.021      0.045      0.021      0.02      0.017      0.041      0.035      0.134      0.052      
          A*31 * 0.01      0.033      0.034      0.00000      0.00000      0.02      0.019      0.066      0.019      0.015      0      0.026      0.03      0.02      0.069      
          A*32 * 0.063      0.029      0.033      0.00000      0.00000      0.04      0.042      0.037      0.048      0.047      0.006      0.024      0.032      0.087      0.05      
          A*33 * 0.0093      0.017      0.0055      0.00000      0.00000      0.03      0.02      0.05      0.025      0.021      0.023      0.015      0.0091      0.00394      0.056      
          A*34 * 0.00000      0.00000      0.0003      0.00000      0.00000      0.00000      0.00137      0.001      0.00000      0.001      0.006      0.00000      0.0015      0.00000      0.003      
          A*36 * 0.0023      0.00000      0.00000      0.00000      0.00000      0.04      0.00000      0.001      0.00000      0.00000      0      0.00000      0.00000      0.00000      0      
          A*43 * 0.0012      0.00000      0.00000      0.00000      0.00000      0.00000      0.00034      0.00000      0.00000      0.00000      0      0.00000      0.00000      0.00000      0      
          A*66 * 0.0012      0.00833      0.0033      0.00000      0.00000      0.00000      0.00342      0.006      0.00377      0.002      0      0.00000      0.00000      0.00787      0.001      
          A*68 * 0.048      0.021      0.043      0.041      0.089      0.03      0.034      0.1      0.042      0.036      0.052      0.036      0.029      0.047      0.102      
          A*69 * 0.0058      0.00000      0.0004      0.00000      0.00000      0.00000      0.00273      0.003      0.00176      0.001      0.00000      0.00000      0.012      0.00000      0      
          A*74 * 0.0035      0.00000      0.0004      0.00000      0.00000      0.00000      0.00239      0.01      0.00000      0.00000      0      0.00000      0.00000      0.00000      0.008      
          A*80 * 0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00034      0.00000      0.00000      0.00000      0      0.001      0.00000      0.00000      0.00000      
#                 432           120           4510           576           200           6936           1469           499           1992           400           88           407           330           127           383           

@locus 2   B      Albania-pop-2-   Croatia-pop-3-   Norway-ethnic-Norwegians-   Norway-pop-2-   Norway-Sami-   Romania-pop-2-   Romania-pop-3-   Saudi-Arabia-pop-4-   Serbia-pop-3-   Serbia-Vojvodina-   Spain-Ibiza-   Spain-Majorca-   UK-North-   Russia-North-Ossetian-   Saudi-Arabia-pop-2-   
          B*07 * 0.058      0.092      0.16      0.148      0.194      0.05      0.054      0.081      0.05      0.061      0.085      0.09      0.186      0.11      0.089      
          B*08 * 0.05      0.075      0.128      0.122      0.054      0.06      0.069      0.1      0.086      0.081      0.068      0.074      0.105      0.067      0.085      
          B*13 * 0.023      0.033      0.011      0.011      0.003      0.03      0.033      0.014      0.033      0.037      0.068      0.022      0.017      0.071      0.013      
          B*14 * 0.0081      0.013      0.022      0.027      0.00000      0.02      0.025      0.02      0.032      0.033      0.131      0.043      0.028      0.00394      0.009      
          B*15 * 0.029      0.025      0.106      0.112      0.155      0.03      0.029      0.048      0.037      0.026      0.011      0.06      0.06      0.039      0.054      
          B*18 * 0.157      0.083      0.037      0.027      0.003      0.1      0.114      0.02      0.099      0.093      0.006      0.096      0.052      0.067      0.03      
          B*27 * 0.029      0.088      0.06      0.075      0.155      0.04      0.048      0.018      0.05      0.066      0.057      0.018      0.052      0.028      0.007      
          B*35 * 0.13      0.138      0.071      0.091      0.06      0.14      0.154      0.07      0.131      0.12      0.108      0.091      0.081      0.071      0.082      
          B*37 * 0.03      0.013      0.014      0.014      0.003      0.00000      0.00854      0.008      0.013      0.001      0.011      0.013      0.0061      0.012      0.009      
          B*38 * 0.027      0.038      0.0055      0.02      0.071      0.03      0.031      0.018      0.056      0.05      0.017      0.041      0.0077      0.043      0.01      
          B*39 * 0.024      0.029      0.014      0.00000      0.00000      0.03      0.029      0.019      0.031      0.023      0.04      0.025      0.015      0.016      0.008      
          B*40 * 0.045      0.00833      0.122      0.113      0.143      0.05      0.06      0.015      0.036      0.045      0.023      0.031      0.035      0.043      0.016      
          B*41 * 0.013      0.00833      0.0035      0.004      0.00000      0.02      0.018      0.034      0.013      0.008      0.00000      0.009      0.0061      0.00000      0.038      
          B*42 * 0.00000      0.00000      0.0003      0.001      0.00000      0.00000      0.00137      0.01      0.00000      0.00000      0.00000      0.006      0.022      0.00000      0.013      
          B*44 * 0.067      0.071      0.134      0.135      0.066      0.08      0.082      0.021      0.092      0.085      0.244      0.154      0.124      0.059      0.035      
          B*45 * 0.0023      0.00000      0.0045      0.00000      0.00000      0.00000      0.00478      0.006      0.001      0.003      0.00000      0.004      0.0046      0.00000      0.003      
          B*46 * 0.00000      0.00000      0.0006      0.00000      0.00000      0.00000      0.00034      0.00000      0.00025      0.00000      0.00000      0.00000      0.00000      0.00000      0.003      
          B*47 * 0.0081      0.00833      0.0027      0.003      0.00000      0.00000      0.00717      0.003      0.00502      0.001      0.00000      0.006      0      0.00000      0.001      
          B*48 * 0.0012      0.00417      0.0014      0.002      0.00000      0.00000      0.00171      0.00000      0.001      0.001      0.00000      0.001      0.00000      0.00394      0.001      
          B*49 * 0.016      0.00833      0.012      0.017      0.00000      0.02      0.017      0.015      0.029      0.023      0.04      0.065      0.023      0.157      0.033      
          B*50 * 0.013      0.00833      0.0037      0.00000      0.00000      0.02      0.018      0.163      0.011      0.012      0.00000      0.015      0.014      0.059      0.188      
          B*51 * 0.166      0.096      0.035      0.037      0.018      0.09      0.084      0.193      0.129      0.12      0.023      0.076      0.054      0.126      0.128      
          B*52 * 0.026      0.017      0.0024      0.00000      0.00000      0.04      0.036      0.022      0.012      0.028      0.006      0.003      0.011      0.00000      0.016      
          B*53 * 0.01      0.00000      0.0013      0.00000      0.00000      0.02      0.0058      0.035      0.00226      0.002      0.006      0.003      0.015      0.00000      0.046      
          B*54 * 0.0035      0.00000      0.0002      0.00000      0.00000      0.00000      0.00102      0.00000      0.00025      0.001      0.00000      0.00000      0.0092      0.00000      0      
          B*55 * 0.026      0.021      0.012      0.01      0.027      0.02      0.021      0.006      0.011      0.015      0.011      0.014      0.012      0.00394      0.005      
          B*56 * 0.0023      0.025      0.0052      0.00000      0.00000      0.01      0.01      0.00000      0.011      0.018      0.00000      0.007      0.00000      0.00000      0.003      
          B*57 * 0.015      0.029      0.029      0.034      0.051      0.01      0.016      0.013      0.019      0.017      0.023      0.02      0.051      0.016      0.025      
          B*58 * 0.014      0.013      0.0035      0.00000      0.00000      0.02      0.014      0.04      0.00853      0.008      0.023      0.006      0.0015      0.00394      0.044      
          B*59 * 0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.001      0.00000      0.00000      0.0031      0.00000      0      
          B*67 * 0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.001      
          B*73 * 0.0023      0.00000      0.0003      0.00000      0.00000      0.00000      0.00068      0.002      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.004      
          B*78 * 0.0046      0.00000      0.00000      0.00000      0.00000      0.03      0.00273      0.00000      0.00000      0.00000      0.00000      0.00000      0.0046      0.00000      0.001      
          B*81 * 0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.003      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.001      
          B*82 * 0.0012      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.001      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      
#                 432           120           4510           576           200           6936           1469           499           1992           400           88           407           330           127           383           

@locus 3   DQB1      Albania-pop-2-   Croatia-pop-3-   Norway-ethnic-Norwegians-   Norway-pop-2-   Norway-Sami-   Romania-pop-2-   Romania-pop-3-   Saudi-Arabia-pop-4-   Serbia-pop-3-   Serbia-Vojvodina-   Spain-Ibiza-   Spain-Majorca-   UK-North-   Russia-North-Ossetian-   Saudi-Arabia-pop-2-   
          DQB1*02 * 0.12      0.1      0.193      0.179      0.063      0.21      0.172      0.362      0.17      0.177      0.356      0.308      0.262      0.236      0.352      
          DQB1*03 * 0.405      0.325      0.322      0.345      0.338      0.29      0.367      0.251      0.333      0.3      0.305      0.258      0.308      0.307      0.235      
          DQB1*04 * 0.038      0.013      0.043      0.047      0.225      0.02      0.024      0.019      0.022      0.04      0      0.042      0.026      0.012      0.026      
          DQB1*05 * 0.253      0.246      0.138      0.147      0.138      0.3      0.278      0.123      0.33      0.272      0.195      0.208      0.15      0.102      0.117      
          DQB1*06 * 0.185      0.2      0.303      0.282      0.238      0.18      0.159      0.246      0.145      0.208      0.144      0.183      0.253      0.343      0.269      
#                 432           120           4510           576           200           6936           1469           499           1992           400           88           407           330           127           383           

@locus 4   DRB1      Albania-pop-2-   Croatia-pop-3-   Norway-ethnic-Norwegians-   Norway-pop-2-   Norway-Sami-   Romania-pop-2-   Romania-pop-3-   Saudi-Arabia-pop-4-   Serbia-pop-3-   Serbia-Vojvodina-   Spain-Ibiza-   Spain-Majorca-   UK-North-   Russia-North-Ossetian-   Saudi-Arabia-pop-2-   
          DRB1*01 * 0.051      0.1      0.103      0.116      0.1      0.08      0.086      0.035      0.103      0.113      0.115      0.151      0.116      0.047      0.03      
          DRB1*01:03 * 0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.00000      0.008      0.00000      0.00000      0.00000      0.00000      
          DRB1*03 * 0.065      0.067      0.137      0.124      0.06      0.11      0.116      0.158      0.109      0.101      0.115      0.132      0.144      0.126      0.154      
          DRB1*04 * 0.082      0.092      0.2      0.223      0.08      0.09      0.088      0.16      0.09      0.091      0.085      0.099      0.177      0.087      0.189      
          DRB1*07 * 0.068      0.05      0.086      0.093      0.025      0.07      0.08      0.201      0.071      0.088      0.246      0.142      0.147      0.126      0.178      
          DRB1*08 * 0.023      0.017      0.044      0.049      0.223      0.02      0.018      0.0093      0.031      0.046      0.00000      0.052      0.038      0.024      0.009      
          DRB1*09 * 0.00000      0.00833      0.016      0.014      0.073      0      0.00411      0.0072      0.00377      0.005      0.00000      0.005      0.015      0.00000      0.001      
          DRB1*10 * 0.019      0.00833      0.0075      0.009      0.00000      0.01      0.013      0.033      0.011      0.006      0.00000      0.009      0.0015      0.00787      0.048      
          DRB1*11 * 0.295      0.188      0.047      0.00000      0.00000      0.19      0.216      0.09      0.169      0.158      0.208      0.151      0.055      0.173      0.078      
          DRB1*12 * 0.02      0.00833      0.022      0.00000      0.00000      0.02      0.013      0.001      0.019      0.021      0.008      0.009      0.026      0.012      0.004      
          DRB1*13 * 0.111      0.121      0.14      0.00000      0.00000      0.15      0.106      0.144      0.132      0.116      0.069      0.099      0.09      0.217      0.138      
          DRB1*14 * 0.064      0.058      0.027      0.143      0.223      0.07      0.058      0.0093      0.054      0.07      0.023      0.047      0.025      0.031      0.008      
          DRB1*15 * 0.081      0.117      0.167      0.157      0.105      0.09      0.093      0.109      0.098      0.1      0.123      0.104      0.164      0.13      0.131      
          DRB1*16 * 0.122      0.1      0.0039      0.00000      0.00000      0.1      0.107      0.042      0.109      0.082      0.00000      0.00000      0.0015      0.02      0.031      
#                 432           120           4510           576           200           6936           1469           499           1992           400           88           407           330           127           383           

